Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
Kasba N.D. Hotel And Resorts,https://www.zomato.com/jaipur/kasba-n-d-hotel-and-resorts-sikar-road,Sikar Road,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,North Indian,350,no,no,yes,yes,,
Kasher Shyam Food Plaza,https://www.zomato.com/jaipur/kasher-shyam-food-plaza-bais-godam,Bais Godam,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,North Indian,200,no,no,no,yes,,
Kashish Kitchen,https://www.zomato.com/jaipur/kashish-kitchen-amer-road,Amer Road,Does not offer Dining,Not enough Delivery Reviews,,Bakery,150,no,no,yes,no,,
Kataria Hotel,https://www.zomato.com/jaipur/kataria-hotel-mansarovar,Mansarovar,19 Dining Reviews,63 Delivery Reviews,Casual Dining ,"North Indian, Fast Food, Chinese, South Indian",700,yes,no,yes,yes,3.3,3.9
Kathi Egg Roll,https://www.zomato.com/jaipur/kathi-egg-roll-lal-kothi,Lal Kothi,Does not offer Dining,"2,413 Delivery Reviews",,"Rolls, Fast Food, Beverages",250,no,no,yes,no,,3.6
Kathi Junction,https://www.zomato.com/jaipur/kathi-junction-raja-park,Raja Park,383 Dining Reviews,"1,075 Delivery Reviews",Quick Bites ,"Rolls, North Indian, Chinese, Fast Food, Pizza, Beverages",300,no,no,yes,yes,3.5,3.3
Kathi Roll Kitchen,https://www.zomato.com/jaipur/kathi-roll-kitchen-tonk-road,Tonk Road,5 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,300,no,no,yes,yes,2.9,
Katta Ji Sweets & Namkeen,https://www.zomato.com/jaipur/katta-ji-sweets-namkeen-amer-road,Amer Road,30 Dining Reviews,Does not offer Delivery,Sweet Shop ,"Mithai, Street Food",150,yes,no,no,yes,3,
Kebab Nation,https://www.zomato.com/jaipur/kebab-nation-mansarovar,Mansarovar,134 Dining Reviews,"1,688 Delivery Reviews",Casual Dining ,"North Indian, Italian","1,100",no,no,yes,yes,4.1,3.4
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-chitrakoot,Chitrakoot,974 Dining Reviews,"6,942 Delivery Reviews",Casual Dining ,"North Indian, Kebab","1,000",no,no,yes,yes,4.3,4
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-raja-park,Raja Park,892 Dining Reviews,"5,257 Delivery Reviews",Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.4,4.1
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-malviya-nagar,Malviya Nagar,"2,288 Dining Reviews","2,615 Delivery Reviews",Casual Dining ,"North Indian, Chinese",800,no,no,yes,yes,4.7,4.1
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-tonk-road,Sitapur,624 Dining Reviews,"1,425 Delivery Reviews",Casual Dining ,"North Indian, Mughlai, Chinese, Rolls, Kebab","1,400",no,no,yes,yes,4.4,4.2
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-jagatpura,Jagatpura,273 Dining Reviews,297 Delivery Reviews,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.1,4.2
Kebabs & Curries Company,https://www.zomato.com/jaipur/kebabs-curries-company-brahmpuri,Brahmpuri,222 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Mughlai, Chinese","1,000",no,no,yes,yes,4.2,
