Name,Url,Location,din_rev,del_rev,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,home_delivery,offers_dining,avg_din_rate,avg_del_rate
"But First, Coffee",https://www.zomato.com/jaipur/but-first-coffee-bapu-nagar,Bapu Nagar,25 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food",550,yes,no,yes,yes,3,
C K Express,https://www.zomato.com/jaipur/c-k-express-bais-godam,Central Jaipur,Does not offer Dining,77 Delivery Reviews,,"North Indian, Rajasthani",350,yes,no,yes,no,,4.1
C M Pack & Carry,https://www.zomato.com/jaipur/c-m-pack-carry-malviya-nagar,South Jaipur,Does not offer Dining,"4,267 Delivery Reviews",,"North Indian, Chinese, Burger, Sandwich, Momos, Pizza, Fast Food, Beverages",400,no,no,yes,no,,4.2
C M Pack And Carry,https://www.zomato.com/jaipur/c-m-pack-and-carry-ajmer-highway,Ajmer Highway,Does not offer Dining,343 Delivery Reviews,,"North Indian, Chinese, Fast Food, Burger, Sandwich",400,no,no,yes,no,,4.2
C3 Chaska,https://www.zomato.com/jaipur/c3-chaska-mansarovar,Mansarovar,68 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",300,yes,no,no,yes,3.8,
CAFÉ Bae,https://www.zomato.com/jaipur/caf%C3%A9-bae-bais-godam,Bais Godam,"1,449 Dining Reviews","3,068 Delivery Reviews","CAFÉ, Casual Dining ","Cafe, Continental, Thai","1,200",no,yes,yes,yes,4.7,4.3
CAFÉ Culture Shock,https://www.zomato.com/jaipur/caf%C3%A9-culture-shock-1-raja-park,Raja Park,116 Dining Reviews,210 Delivery Reviews,CAFÉ ,"Cafe, Chinese, Fast Food, Beverages",400,no,no,yes,yes,3.8,2.7
CAFÉ Indigo,https://www.zomato.com/jaipur/caf%C3%A9-indigo-tonk-road,Sanganer,5 Dining Reviews,Does not offer Delivery,CAFÉ ,Cafe,600,no,no,no,yes,3.2,
Cafe 0 K.M,https://www.zomato.com/jaipur/cafe-0-k-m-vidhyadhar-nagar,Vidhyadhar Nagar,52 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food, Chinese",500,no,no,no,yes,3.6,
Cafe 11:11,https://www.zomato.com/jaipur/cafe-11-11-c-scheme,C Scheme,40 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"North Indian, Chinese, South Indian, Fast Food",700,no,no,yes,yes,3.4,
Cafe 2 Minutes,https://www.zomato.com/jaipur/cafe-2-minutes-malviya-nagar,Malviya Nagar,15 Dining Reviews,24 Delivery Reviews,Quick Bites ,"Fast Food, Beverages",400,no,no,yes,yes,3.2,2.9
Cafe 24X7,https://www.zomato.com/jaipur/cafe-24x7-1-tonk-road,Durgapura,Not enough Dining Reviews,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts",350,no,no,yes,yes,,
Cafe 420,https://www.zomato.com/jaipur/cafe-420-ajmer-highway,Ajmer Highway,5 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Tea, Juices",300,no,no,no,yes,3.5,
Cafe 48,https://www.zomato.com/jaipur/cafe-48-malviya-nagar,Malviya Nagar,301 Dining Reviews,"2,058 Delivery Reviews",CAFÉ ,Cafe,400,yes,no,yes,yes,3.8,3.7
Cafe 666,https://www.zomato.com/jaipur/cafe-666-vidhyadhar-nagar,Vidhyadhar Nagar,10 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, South Indian",300,yes,no,yes,yes,2.8,
Cafe 73,https://www.zomato.com/jaipur/cafe-73-jagatpura,Pratap Nagar,4 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Ice Cream",400,no,no,yes,yes,2.9,
Cafe 8 P.M.,https://www.zomato.com/jaipur/cafe-8-p-m-malviya-nagar,Malviya Nagar,12 Dining Reviews,92 Delivery Reviews,CAFÉ ,"Cafe, Fast Food",300,yes,no,yes,yes,3,3.6
Cafe 90 Seven,https://www.zomato.com/jaipur/cafe-90-seven-shyam-nagar,Shyam Nagar,6 Dining Reviews,Does not offer Delivery,CAFÉ ,Cafe,400,yes,no,no,yes,3.2,
Cafe 99,https://www.zomato.com/jaipur/cafe-99-lal-kothi,Lal Kothi,585 Dining Reviews,"4,829 Delivery Reviews",Casual Dining ,"North Indian, South Indian, Chinese, Beverages",350,yes,no,yes,yes,3.8,3.9
Cafe 99,https://www.zomato.com/jaipur/cafe-99-mansarovar,Gopalpura,150 Dining Reviews,"1,333 Delivery Reviews",Casual Dining ,"Fast Food, South Indian, North Indian, Chinese",400,yes,no,yes,yes,3.7,3.8
Cafe A2A,https://www.zomato.com/jaipur/cafe-a2a-2-amer,Amer,12 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian",450,no,no,yes,yes,3.3,
Cafe Amer - The Gold Palace & Resorts,https://www.zomato.com/jaipur/cafe-amer-the-gold-palace-resorts-kukas,Kukas,10 Dining Reviews,Does not offer Delivery,Bar ,Finger Food,"2,500",no,yes,no,yes,3.2,
Cafe and Garden,https://www.zomato.com/jaipur/cafe-and-garden-vaishali-nagar,Vaishali Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, North Indian",800,yes,no,no,yes,,
Cafe and Pizza Lounge,https://www.zomato.com/jaipur/cafe-and-pizza-lounge-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Continental",300,no,no,no,yes,,
Cafe and Pizza Lounge,https://www.zomato.com/jaipur/cafe-and-pizza-lounge-mi-road,MI Road,Not enough Dining Reviews,Does not offer Delivery,,,300,no,no,no,yes,,
Cafe Beardo,https://www.zomato.com/jaipur/cafe-beardo-1-malviya-nagar,Malviya Nagar,5 Dining Reviews,Does not offer Delivery,Quick Bites ,"North Indian, Chinese, Fast Food",250,no,no,no,yes,3.1,
Cafe Blue Flame (CBF),https://www.zomato.com/jaipur/cafe-blue-flame-cbf-vidhyadhar-nagar,Vidhyadhar Nagar,50 Dining Reviews,367 Delivery Reviews,Quick Bites ,"Rolls, Fast Food, North Indian, Chinese, Mughlai, Momos, Beverages",600,no,no,yes,yes,3.5,3.2
Cafe Cairo,https://www.zomato.com/jaipur/cafe-cairo-tonk-road,Gopalpura,79 Dining Reviews,Not enough Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Continental, Chinese, North Indian",600,no,no,yes,yes,3.1,
Cafe Campus,https://www.zomato.com/jaipur/cafe-campus-1-sodala,Sodala,8 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Chinese",400,yes,no,yes,yes,3.4,
Cafe Charcha,https://www.zomato.com/jaipur/cafe-charcha-vaishali-nagar,Vaishali Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese, Beverages",500,no,no,yes,yes,,
Cafe Choco De-Licious,https://www.zomato.com/jaipur/cafe-choco-de-licious-tonk-road,Durgapura,136 Dining Reviews,992 Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,3.5,3.8
Cafe Coffee Connection,https://www.zomato.com/jaipur/cafe-coffee-connection-mansarovar,Mansarovar,51 Dining Reviews,338 Delivery Reviews,CAFÉ ,Cafe,400,yes,no,yes,yes,3.6,3.7
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-1-bais-godam,Bais Godam,97 Dining Reviews,479 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,3.2,3.9
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-3-malviya-nagar,Malviya Nagar,72 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.9,
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-bani-park,Bani Park,73 Dining Reviews,234 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.6,3.8
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-vidhyadhar-nagar,Vidhyadhar Nagar,84 Dining Reviews,313 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.7,4
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-raja-park,Raja Park,59 Dining Reviews,113 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.6,3.5
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-1-vaishali-nagar,Vaishali Nagar,57 Dining Reviews,209 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.4,3.9
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-mansarovar,Mansarovar,72 Dining Reviews,171 Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.4,3.5
Cafe Coffee Day,https://www.zomato.com/jaipur/cafe-coffee-day-sodala,Sodala,51 Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Beverages, Sandwich, Fast Food, Desserts",700,no,no,yes,yes,2.7,
Cafe Corners Dip,https://www.zomato.com/jaipur/cafe-corners-dip-lal-kothi,Lal Kothi,Does not offer Dining,529 Delivery Reviews,,"Fast Food, Beverages",300,no,no,yes,no,,3.8
Cafe Craft,https://www.zomato.com/jaipur/cafe-craft-achrol,Achrol,125 Dining Reviews,35 Delivery Reviews,Casual Dining ,"Continental, Italian, North Indian",900,no,no,yes,yes,4,3.5
Cafe Cuisine,https://www.zomato.com/jaipur/cafe-cuisine-sodala,Sodala,10 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Chinese",400,no,no,yes,yes,3.4,
Cafe De Kalinga,https://www.zomato.com/jaipur/cafe-de-kalinga-mansarovar,Mansarovar,37 Dining Reviews,59 Delivery Reviews,Quick Bites ,"Chinese, South Indian",400,no,no,yes,yes,3.4,3.9
Cafe Delicious,https://www.zomato.com/jaipur/cafe-delicious-tonk-road,Durgapura,Does not offer Dining,24 Delivery Reviews,,"Italian, Chinese, Continental",700,no,no,yes,no,,3.2
Cafe Four Cats,https://www.zomato.com/jaipur/cafe-four-cats-tonk-road,Gopalpura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Rajasthani",200,yes,no,no,yes,,
Cafe Green,https://www.zomato.com/jaipur/cafe-green-tonk-road,Gopalpura,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,Fast Food,200,no,no,yes,yes,,
Cafe Habbito,https://www.zomato.com/jaipur/cafe-habbito-bais-godam,Bais Godam,15 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Chinese",400,yes,no,no,yes,3.4,
Cafe Hantra Drinks,https://www.zomato.com/jaipur/cafe-hantra-drinks-tonk-road,Gopalpura,4 Dining Reviews,Does not offer Delivery,Beverage Shop ,Beverages,150,no,no,no,yes,3.1,
Cafe Haven,https://www.zomato.com/jaipur/cafe-haven-vaishali-nagar,Vaishali Nagar,6 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Rolls, Chinese, North Indian, Fast Food, Beverages",600,no,no,no,yes,3.2,
Cafe Heart,https://www.zomato.com/jaipur/cafe-heart-mansarovar,Mansarovar,Does not offer Dining,"3,594 Delivery Reviews",Beverage Shop ,"Beverages, Fast Food",150,no,no,yes,no,,3.8
Cafe Hungry Birds,https://www.zomato.com/jaipur/cafe-hungry-birds-malviya-nagar,Malviya Nagar,206 Dining Reviews,619 Delivery Reviews,CAFÉ ,"Cafe, Italian, Fast Food, North Indian, Chinese",600,yes,no,yes,yes,3.9,3.6
Cafe Infinity,https://www.zomato.com/jaipur/cafe-infinity-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,Casual Dining ,Fast Food,500,no,no,no,yes,,
Cafe Italiano,https://www.zomato.com/jaipur/cafe-italiano-raja-park,Raja Park,Does not offer Dining,30 Delivery Reviews,,"Fast Food, Beverages",500,no,no,yes,no,,3.9
Cafe K,https://www.zomato.com/jaipur/cafe-k-1-pink-city,Pink City,40 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food",300,yes,no,no,yes,3.7,
Cafe Kebabs,https://www.zomato.com/jaipur/cafe-kebabs-mi-road,MI Road,220 Dining Reviews,"1,670 Delivery Reviews",Casual Dining ,"North Indian, Fast Food, Chinese",850,no,no,yes,yes,4,3.9
Cafe Kothi,https://www.zomato.com/jaipur/cafe-kothi-2-civil-lines,Civil Lines,220 Dining Reviews,"1,670 Delivery Reviews",Casual Dining ,"Continental, Italian",800,no,no,yes,yes,,
Cafe Kothi,https://www.zomato.com/jaipur/cafe-kothi-3-civil-lines,Civil Lines,220 Dining Reviews,"1,670 Delivery Reviews",Quick Bites ,"Continental, Beverages",300,no,no,yes,yes,,
Cafe LazyMojo,https://www.zomato.com/jaipur/cafe-lazymojo-c-scheme,C Scheme,11 Dining Reviews,Not enough Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Italian, Continental",800,no,no,yes,yes,3.4,
Cafe LazyMojo,https://www.zomato.com/jaipur/cafe-lazymojo-malviya-nagar,Malviya Nagar,"2,068 Dining Reviews","1,816 Delivery Reviews","CAFÉ, Casual Dining ","Cafe, Italian, Continental",800,no,no,yes,yes,4.5,3.8
Cafe Lets Meet- Night Bites,https://www.zomato.com/jaipur/cafe-lets-meet-night-bites-tonk-road,South Jaipur,Does not offer Dining,703 Delivery Reviews,,"North Indian, Chinese",450,no,no,yes,no,,3.2
Cafe Lucifer,https://www.zomato.com/jaipur/cafe-lucifer-1-raja-park,Raja Park,Not enough Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Fast Food, Beverages",400,yes,no,yes,yes,,
Cafe Nirvana,https://www.zomato.com/jaipur/cafe-nirvana-raja-park,Raja Park,Not enough Dining Reviews,Not enough Delivery Reviews,CAFÉ ,"Cafe, Fast Food",450,yes,no,yes,yes,,
Cafe Pubg,https://www.zomato.com/jaipur/cafe-pubg-1-malviya-nagar,Malviya Nagar,14 Dining Reviews,60 Delivery Reviews,CAFÉ ,"Cafe, Chinese",200,yes,no,yes,yes,3.3,3.8
Cafe Quaint,https://www.zomato.com/jaipur/cafe-quaint-bapu-nagar,Bapu Nagar,375 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, European, Beverages",500,no,no,no,yes,4.4,
Cafe Recharge Tummy,https://www.zomato.com/jaipur/cafe-recharge-tummy-tonk-road,Pratap Nagar,95 Dining Reviews,864 Delivery Reviews,Quick Bites ,"Fast Food, Pizza",350,yes,no,yes,yes,3.8,3.6
Cafe Samsara,https://www.zomato.com/jaipur/cafe-samsara-khatipura-road,Khatipura Road,131 Dining Reviews,Not enough Delivery Reviews,"CAFÉ, Casual Dining ","Cafe, Continental","1,200",no,yes,yes,yes,3.9,
Cafe Shafe,https://www.zomato.com/jaipur/cafe-shafe-vidhyadhar-nagar,Vidhyadhar Nagar,36 Dining Reviews,131 Delivery Reviews,Quick Bites ,"Fast Food, Beverages",300,yes,no,yes,yes,2.7,3.6
Cafe Skyross,https://www.zomato.com/jaipur/cafe-skyross-1-vaishali-nagar,Vaishali Nagar,37 Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Italian, Chinese",600,yes,no,no,yes,3.6,
Cafe T Square,https://www.zomato.com/jaipur/cafe-t-square-c-scheme,C Scheme,Not enough Dining Reviews,23 Delivery Reviews,Quick Bites ,"Fast Food, Chinese, North Indian",400,yes,no,yes,yes,,3.5
Cafe Tea Tonique,https://www.zomato.com/jaipur/cafe-tea-tonique-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Does not offer Delivery,,"Fast Food, Beverages",250,yes,no,no,yes,,
Cafe Terra,https://www.zomato.com/jaipur/cafe-terra-2-ajmer-highway,Ajmer Highway,26 Dining Reviews,Not enough Delivery Reviews,Quick Bites ,"Chinese, Continental, North Indian, Beverages",400,yes,no,yes,yes,3.4,
Cafe White Sage,https://www.zomato.com/jaipur/cafe-white-sage-civil-lines,Civil Lines,105 Dining Reviews,Does not offer Delivery,Casual Dining ,"North Indian, Continental, Beverages","1,600",yes,no,no,yes,3.8,
Cafe-Chill N Brew,https://www.zomato.com/jaipur/cafe-chill-n-brew-shyam-nagar,Shyam Nagar,Does not offer Dining,56 Delivery Reviews,,"Pizza, Sandwich, Fast Food, Beverages, Desserts",200,no,no,yes,no,,3.2
Caffe Cucina,https://www.zomato.com/jaipur/caffe-cucina-amer-road,Amer Road,Not enough Dining Reviews,Does not offer Delivery,CAFÉ ,"Cafe, Fast Food, North Indian, Beverages",350,no,no,no,yes,,
Caffe Palladio Jaipur,https://www.zomato.com/jaipur/caffe-palladio-jaipur-1-narayan-singh-circle,Narayan Singh Circle,117 Dining Reviews,Not enough Delivery Reviews,Casual Dining ,"Italian, Turkish, Lebanese","2,000",no,no,yes,yes,3.5,
Caffeine Dose,https://www.zomato.com/jaipur/caffeine-dose-tonk-road,Gopalpura,5 Dining Reviews,Does not offer Delivery,Quick Bites ,"Fast Food, Beverages",200,no,no,no,yes,3.2,
Cafistro - The Veg Cafe,https://www.zomato.com/jaipur/cafistro-the-veg-cafe-malviya-nagar,Malviya Nagar,28 Dining Reviews,342 Delivery Reviews,CAFÉ ,"Cafe, North Indian, South Indian, Beverages",700,yes,no,yes,yes,3.2,3.6
Cake & Bake,https://www.zomato.com/jaipur/cake-bake-vaishali-nagar,Vaishali Nagar,60 Dining Reviews,469 Delivery Reviews,Bakery ,Bakery,150,no,no,yes,yes,3.6,3.3
Cake & Bake,https://www.zomato.com/jaipur/cake-bake-bani-park,Bani Park,Does not offer Dining,249 Delivery Reviews,,Bakery,500,no,no,yes,no,,3.6
Cake & Bake,https://www.zomato.com/jaipur/cake-bake-tonk-road,Pratap Nagar,18 Dining Reviews,102 Delivery Reviews,Bakery ,Bakery,450,no,no,yes,yes,3.6,3.5
Cake & Bake,https://www.zomato.com/jaipur/cake-bake-1-mansarovar,South Jaipur,18 Dining Reviews,102 Delivery Reviews,Bakery ,Bakery,300,no,no,yes,yes,,
Cake & Bakery,https://www.zomato.com/jaipur/cake-bakery-raja-park,Raja Park,Does not offer Dining,70 Delivery Reviews,Bakery ,Bakery,200,no,no,yes,no,,3.6
Cake & Cafe,https://www.zomato.com/jaipur/cake-cafe-bani-park,Bani Park,Does not offer Dining,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts, Fast Food, Chinese",300,no,no,yes,no,,
Cake & More,https://www.zomato.com/jaipur/cake-more-mansarovar,Mansarovar,Does not offer Dining,42 Delivery Reviews,,Bakery,200,no,no,yes,no,,3.9
Cake & Pizza Hut,https://www.zomato.com/jaipur/cake-pizza-hut-amer-road,Amer Road,33 Dining Reviews,635 Delivery Reviews,Quick Bites ,Fast Food,200,yes,no,yes,yes,3.3,3.5
Cake Adda,https://www.zomato.com/jaipur/cake-adda-khatipura-road,Khatipura Road,56 Dining Reviews,35 Delivery Reviews,Bakery ,Bakery,250,yes,no,yes,yes,3.9,3.3
Cake Adda,https://www.zomato.com/jaipur/cake-adda-malviya-nagar,South Jaipur,196 Dining Reviews,"1,111 Delivery Reviews",,"Bakery, Desserts",200,yes,no,yes,yes,4.1,3.2
Cake Adda,https://www.zomato.com/jaipur/cake-adda-1-khatipura-road,Sodala,35 Dining Reviews,19 Delivery Reviews,Bakery ,Bakery,100,yes,no,yes,yes,3.8,3.3
Cake And More,https://www.zomato.com/jaipur/cake-and-more-sodala,Sodala,Does not offer Dining,Not enough Delivery Reviews,,Bakery,200,no,no,yes,no,,
Cake Away,https://www.zomato.com/jaipur/cake-away-vaishali-nagar,Vaishali Nagar,Does not offer Dining,44 Delivery Reviews,Bakery ,Bakery,300,no,no,yes,no,,3.5
Cake Away,https://www.zomato.com/jaipur/cake-away-raja-park,East Jaipur,Does not offer Dining,44 Delivery Reviews,,Bakery,250,no,no,yes,no,,
Cake Bank Bakery,https://www.zomato.com/jaipur/cake-bank-bakery-shastri-nagar,Shastri Nagar,Does not offer Dining,421 Delivery Reviews,Bakery ,"Bakery, Fast Food, Beverages",400,yes,no,yes,no,,3.8
Cake Bank Bakery,https://www.zomato.com/jaipur/cake-bank-bakery-vidhyadhar-nagar,Vidhyadhar Nagar,17 Dining Reviews,330 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food, Beverages",400,yes,no,yes,yes,2.8,4.1
Cake Bazzar,https://www.zomato.com/jaipur/cake-bazzar-shyam-nagar,Shyam Nagar,28 Dining Reviews,62 Delivery Reviews,"Bakery, Quick Bites ","Bakery, Fast Food",150,no,no,yes,yes,3.7,4
Cake Box,https://www.zomato.com/jaipur/cake-box-raja-park,Raja Park,Does not offer Dining,161 Delivery Reviews,Bakery ,Bakery,250,no,no,yes,no,,3.6
Cake Box,https://www.zomato.com/jaipur/cake-box-mansarovar,Mansarovar,Does not offer Dining,256 Delivery Reviews,Bakery ,Bakery,300,no,no,yes,no,,3.9
Cake Box,https://www.zomato.com/jaipur/cake-box-sikar-road,Sikar Road,Does not offer Dining,121 Delivery Reviews,Bakery ,Bakery,300,no,no,yes,no,,3.8
Cake Break,https://www.zomato.com/jaipur/cake-break-shyam-nagar,Shyam Nagar,Does not offer Dining,Not enough Delivery Reviews,Bakery ,"Bakery, Desserts",800,no,no,yes,no,,
Cake Cinema,https://www.zomato.com/jaipur/cake-cinema-1-mansarovar,Mansarovar,4 Dining Reviews,Does not offer Delivery,Bakery ,Bakery,200,no,no,no,yes,2.9,
Cake City,https://www.zomato.com/jaipur/cake-city-bani-park,Bani Park,Does not offer Dining,55 Delivery Reviews,Bakery ,Bakery,400,no,no,yes,no,,3.5
Cake Club,https://www.zomato.com/jaipur/cake-club-sodala,West Jaipur,Does not offer Dining,144 Delivery Reviews,,Bakery,400,no,no,yes,no,,3.7
Cake Company Jaipur,https://www.zomato.com/jaipur/cake-company-jaipur-mansarovar,Mansarovar,Does not offer Dining,191 Delivery Reviews,Bakery ,Bakery,400,no,no,yes,no,,3.4
Cake Company Jaipur,https://www.zomato.com/jaipur/cake-company-jaipur-tonk-road,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Bakery,400,no,no,yes,no,,
Cake Corner,https://www.zomato.com/jaipur/cake-corner-2-vaishali-nagar,Vaishali Nagar,183 Dining Reviews,853 Delivery Reviews,Bakery ,Bakery,250,yes,no,yes,yes,4.1,3.3
Cake Corner,https://www.zomato.com/jaipur/cake-corner-4-tonk-road,Durgapura,Not enough Dining Reviews,Does not offer Delivery,Bakery ,"Bakery, Fast Food",300,no,no,no,yes,,
Cake Corner,https://www.zomato.com/jaipur/cake-corner-2-mansarovar,Mansarovar,Does not offer Dining,Not enough Delivery Reviews,Bakery ,Bakery,400,no,no,yes,no,,
Cake Corner,https://www.zomato.com/jaipur/cake-corner-3-mansarovar,South Jaipur,Does not offer Dining,Not enough Delivery Reviews,,Bakery,300,no,no,yes,no,,
Cake Corner,https://www.zomato.com/jaipur/cake-corner-2-malviya-nagar,Malviya Nagar,304 Dining Reviews,"1,330 Delivery Reviews",Bakery ,Bakery,250,yes,no,yes,yes,4.2,3.1
Cake Corner,https://www.zomato.com/jaipur/cake-corner-3-tonk-road,Pratap Nagar,93 Dining Reviews,313 Delivery Reviews,Bakery ,"Bakery, Desserts",200,yes,no,yes,yes,4,3.2
Cake Corner,https://www.zomato.com/jaipur/cake-corner-sodala,Sodala,47 Dining Reviews,29 Delivery Reviews,Bakery ,Bakery,250,yes,no,yes,yes,3.8,3.3
Cake Corner,https://www.zomato.com/jaipur/cake-corner-raja-park,Raja Park,25 Dining Reviews,151 Delivery Reviews,Bakery ,Bakery,250,yes,no,yes,yes,3.7,3.2
Cake Country By Cake Hut,https://www.zomato.com/jaipur/cake-country-by-cake-hut-sikar-road,Sikar Road,Does not offer Dining,"4,653 Delivery Reviews",Bakery ,"Bakery, Fast Food",300,yes,no,yes,no,,4.2
Cake Crave,https://www.zomato.com/jaipur/cake-crave-ajmer-highway,Ajmer Highway,Does not offer Dining,Not enough Delivery Reviews,,"Bakery, Fast Food, Pizza, Street Food, Desserts",550,no,no,yes,no,,
Cake Crave,https://www.zomato.com/jaipur/cake-crave-jagatpura,Jagatpura,Does not offer Dining,Not enough Delivery Reviews,,"Bakery, Fast Food, Pizza, Street Food, Desserts",550,no,no,yes,no,,
Cake Crown,https://www.zomato.com/jaipur/cake-crown-2-mansarovar,Sanganer,Does not offer Dining,18 Delivery Reviews,Bakery ,Bakery,400,yes,no,yes,no,,3.9
Cake Crown,https://www.zomato.com/jaipur/cake-crown-4-mansarovar,South Jaipur,Does not offer Dining,18 Delivery Reviews,,Bakery,300,no,no,yes,no,,
Cake Crushed,https://www.zomato.com/jaipur/cake-crushed-malviya-nagar,Malviya Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,Bakery ,Bakery,200,no,no,yes,yes,,
Cake Culture,https://www.zomato.com/jaipur/cake-culture-mansarovar,Durgapura,171 Dining Reviews,"1,313 Delivery Reviews",Bakery ,Bakery,200,no,no,yes,yes,4,3.4
Cake Culture,https://www.zomato.com/jaipur/cake-culture-sodala,West Jaipur,Does not offer Dining,319 Delivery Reviews,,Bakery,200,no,no,yes,no,,3.4
Cake Culture,https://www.zomato.com/jaipur/cake-culture-2-mansarovar,West Jaipur,Does not offer Dining,Not enough Delivery Reviews,Bakery ,Bakery,200,no,no,yes,no,,
Cake Dirghayu,https://www.zomato.com/jaipur/cake-dirghayu-vaishali-nagar,Vaishali Nagar,8 Dining Reviews,Does not offer Delivery,Bakery ,"Bakery, Desserts",500,no,no,no,yes,3.3,
Cake Express,https://www.zomato.com/jaipur/cake-express-khatipura-road,Khatipura Road,Does not offer Dining,24 Delivery Reviews,Bakery ,Bakery,200,no,no,yes,no,,3.9
Cake Express,https://www.zomato.com/jaipur/cake-express-1-tonk-road,Pratap Nagar,Does not offer Dining,178 Delivery Reviews,,Bakery,450,no,no,yes,no,,3.5
Cake Express,https://www.zomato.com/jaipur/cake-express-tonk-road,Durgapura,Not enough Dining Reviews,Does not offer Delivery,Quick Bites ,"Burger, Fast Food, Street Food",200,no,no,no,yes,,
Cake Factory,https://www.zomato.com/jaipur/cake-factory-vaishali-nagar,Vaishali Nagar,61 Dining Reviews,212 Delivery Reviews,Bakery ,"Bakery, Desserts",200,yes,no,yes,yes,3.9,3.3
Cake Factory,https://www.zomato.com/jaipur/cake-factory-mansarovar,Mansarovar,Does not offer Dining,116 Delivery Reviews,Bakery ,"Bakery, Desserts",400,no,no,yes,no,,3.6
Cake Flakes,https://www.zomato.com/jaipur/cake-flakes-tonk-road,Pratap Nagar,Does not offer Dining,21 Delivery Reviews,,Bakery,500,no,no,yes,no,,3.8
Cake Flakes,https://www.zomato.com/jaipur/cake-flakes-1-tonk-road,South Jaipur,Does not offer Dining,21 Delivery Reviews,,Bakery,500,no,no,yes,no,,
Cake Free,https://www.zomato.com/jaipur/cake-free-tonk-road,Durgapura,Does not offer Dining,17 Delivery Reviews,,"Bakery, Desserts",300,no,no,yes,no,,3.5
Cake Gallery,https://www.zomato.com/jaipur/cake-gallery-bani-park,Bani Park,Not enough Dining Reviews,Does not offer Delivery,Bakery ,Bakery,150,no,no,no,yes,,
Cake Home,https://www.zomato.com/jaipur/cake-home-shyam-nagar,Shyam Nagar,Not enough Dining Reviews,Not enough Delivery Reviews,"Bakery, Quick Bites ","Fast Food, Bakery, Desserts",250,no,no,yes,yes,,
